file,split,per_occ,detections,img_w,img_h,animals,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
2008_000262,train,0.239792,1,500,375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000266,train,0.5914174174174174,6,500,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
2008_000273,train,0.371696,4,500,375,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
2008_000275,train,0.037706666666666666,8,500,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0
2008_000283,train,0.10757357357357357,1,500,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000284,train,0.476544,3,500,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
2008_000287,train,0.25978235294117646,2,500,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2008_000289,train,0.16260266666666667,1,375,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000290,train,0.3589811320754717,3,500,371,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000291,train,0.04646246246246246,2,500,333,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000297,train,0.30619701492537316,5,500,335,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0
2008_000309,train,0.16022520107238605,2,500,373,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2008_000311,train,0.43967567567567567,5,500,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
2008_000313,train,0.2922133333333333,1,500,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000315,train,0.00728,2,500,375,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000316,train,0.3390613333333333,1,500,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000318,train,0.6815980148883375,1,403,500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000330,train,0.528336,2,500,375,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2008_000335,train,0.17436986301369864,2,500,292,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2008_000336,train,0.08697066666666667,1,500,375,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2008_000338,train,0.4018293333333333,3,500,375,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
2008_000342,train,0.011159763313609468,1,338,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000343,train,0.5737810650887574,3,500,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
2008_000346,train,0.42678933333333335,3,500,375,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000348,train,0.2607807486631016,3,500,374,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
2008_000350,train,0.19174947807933193,2,479,500,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000356,train,0.011146666666666666,3,500,375,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000361,train,0.21234131736526946,1,500,334,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000364,train,0.270896,2,500,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2008_000365,train,0.07075555555555556,1,300,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000371,train,0.06353753753753753,2,500,333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2008_000380,train,0.19029866666666667,3,500,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2008_000392,train,0.23512,3,375,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2008_000393,train,0.3002042042042042,15,500,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0
2008_000397,train,0.32558933333333334,5,375,500,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0
2008_000399,train,0.2281928838951311,1,400,267,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000400,train,0.016186186186186186,1,500,333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000405,train,0.13912820512820512,1,500,195,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000415,train,0.15306666666666666,1,500,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000416,train,0.33962133333333333,2,375,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2008_000421,train,0.5185866666666666,5,500,375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
2008_000422,train,0.29829333333333335,1,375,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000426,train,0.6741506024096385,1,500,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000428,train,0.3404940711462451,1,400,253,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2008_000432,train,0.3121813333333333,2,500,375,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2008_000435,train,0.32856522755350764,3,447,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2008_000436,train,0.14702327289725867,1,447,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000437,train,0.013733333333333334,2,500,375,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000442,train,0.7588166549801328,2,335,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2008_000443,train,0.5349360579652075,2,335,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2008_000445,train,0.1836254966776854,1,335,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000447,train,0.4254165414538048,2,335,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2008_000448,train,0.6379626666666667,2,375,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2008_000455,train,0.9488588588588589,1,500,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000461,train,0.673824,5,500,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
2008_000470,train,0.34733734939759037,1,500,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2008_000471,train,0.09568168168168169,6,500,333,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000480,train,0.046064,3,500,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2008_000488,train,0.03696,1,500,375,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000491,train,0.5349030303030303,3,500,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2008_000493,train,0.7059253333333333,5,500,375,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0
2008_000495,train,0.39031466666666664,4,500,375,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
2008_000499,train,0.06933689839572192,2,500,374,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2008_000502,train,0.3440246913580247,2,405,500,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2008_000505,train,0.33997333333333335,1,500,375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000512,train,0.11604784688995215,1,418,500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000514,train,0.4880720720720721,5,500,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
2008_000515,train,0.19807755102040817,2,500,490,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000527,train,0.34551404053557716,1,335,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000531,train,0.095008,3,500,375,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000540,train,0.20797333333333334,1,500,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000544,train,0.3518918918918919,1,500,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000545,train,0.026149333333333333,2,500,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2008_000548,train,0.33711384615384615,2,325,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2008_000552,train,0.24736336336336337,2,500,333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2008_000559,train,0.966272,1,500,375,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2008_000561,train,0.7033445378151261,6,500,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
2008_000563,train,0.47266463414634147,3,328,500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
2008_000567,train,0.22131446540880503,1,500,318,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000572,train,0.5363946666666667,3,500,375,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
2008_000578,train,0.3712373333333333,2,500,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2008_000583,train,0.09540490797546013,3,500,326,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
2008_000584,train,0.038538666666666666,1,500,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000585,train,0.2958186666666667,1,500,375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000588,train,0.6523573333333333,4,500,375,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
2008_000595,train,0.12162621359223301,1,412,500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000607,train,0.4020780780780781,3,500,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2008_000613,train,0.7683573333333333,8,500,375,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0
2008_000615,train,0.295424,4,500,375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2008_000619,train,0.04399399399399399,3,500,333,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2008_000626,train,0.12936533333333333,2,375,500,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2008_000628,train,0.44566966966966964,1,500,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000636,train,0.7414612676056338,3,320,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
2008_000641,train,0.26986666666666664,2,500,375,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2008_000645,train,0.28045572916666667,1,320,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000646,train,0.4272007042253521,1,320,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000648,train,0.6476314199395771,4,500,331,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
2008_000650,train,0.5629817708333333,1,320,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000655,train,0.6856705729166667,2,320,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2008_000669,train,0.6398773333333333,1,500,375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008_000672,train,0.42061326291079815,1,320,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000674,train,0.39952473958333334,2,320,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2008_000676,train,0.3957971014492754,2,500,483,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2008_000678,train,0.38725866666666664,1,375,500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000683,train,0.6646047904191617,2,334,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2008_000689,train,0.5758258258258259,10,500,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0
2008_000694,train,0.5662933333333333,5,500,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
2008_000696,train,0.06621678321678322,1,500,286,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2008_000703,train,0.001328,1,500,375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000704,train,0.26383976261127595,4,500,337,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0
2008_000711,train,0.4955988023952096,4,500,334,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2008_000716,train,0.08624460431654676,2,500,278,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000719,train,0.33317717717717715,9,500,333,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000721,train,0.6249653333333334,1,500,375,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2008_000723,train,0.32024598930481285,2,500,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2008_000724,train,0.688,1,500,375,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008_000726,train,0.906875,2,320,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2008_000729,train,0.8535546875,2,320,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2008_000732,train,0.4272189349112426,2,500,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2008_000733,train,0.29270833333333335,1,320,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000742,train,0.7124084084084084,2,333,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2008_000753,train,0.136368,1,375,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000756,train,0.31314906832298134,2,500,322,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000758,train,0.02792,1,375,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000760,train,0.607376,7,500,375,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
2008_000761,train,0.4680586666666667,1,500,375,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2008_000764,train,0.11546666666666666,2,375,500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000775,train,0.9810613333333333,2,500,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2008_000777,train,0.5422965116279069,1,320,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000778,train,0.25314018691588785,1,321,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000785,train,0.09288,1,500,400,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000787,train,0.616912,4,500,375,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2008_000790,train,0.135728,7,500,375,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0
2008_000792,train,0.04453305844907408,6,384,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
2008_000798,train,0.050618666666666666,3,500,375,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000801,train,0.08777481481481482,3,375,450,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2008_000808,train,0.26237125748502993,2,500,334,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2008_000814,train,0.5653422459893048,2,500,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2008_000815,train,0.162048,2,500,375,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2008_000824,train,0.5799253333333333,2,500,375,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2008_000829,train,0.5951573333333333,4,500,375,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0
2008_000832,train,0.25022153846153844,1,500,325,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000833,train,0.349424,9,500,375,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0
2008_000841,train,0.7595739644970414,2,500,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2008_000842,train,0.00651051051051051,1,333,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008_000844,train,0.25299182561307904,2,367,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2008_000847,train,0.499376,3,500,375,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
2008_000851,train,0.5945361445783133,4,500,332,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2008_000854,train,0.07848859315589353,2,400,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2008_000860,train,0.05411733333333334,1,500,375,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008_000861,train,0.16339240506329114,2,500,237,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008_000867,train,0.025008,3,500,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
